food_key,food_description,food_category,allowed_no_restriction,allowed_vegetarian,allowed_vegan,allowed_pescatarian,allowed_halal_friendly,allowed_kosher_style,allowed_gluten_free,allowed_lactose_free,allowed_nut_free,allowed_low_sodium_aware,blocked_profiles
abiyuch raw,"Abiyuch, raw",Fruits and Fruit Juices,1,1,1,1,1,1,1,1,1,1,
acerola (west indian cherry) raw,"Acerola, (west indian cherry), raw",Fruits and Fruit Juices,1,1,1,1,1,1,1,1,1,1,
acorn stew (apache),Acorn stew (Apache),American Indian/Alaska Native Foods,1,1,1,1,1,1,1,1,1,1,
agave raw (southwest),"Agave, raw (Southwest)",American Indian/Alaska Native Foods,1,1,1,1,1,1,1,1,1,1,
alfalfa seeds sprouted raw,"Alfalfa seeds, sprouted, raw",Vegetables and Vegetable Products,1,1,1,1,1,1,1,1,1,1,
amaranth grain uncooked,"Amaranth grain, uncooked",Cereal Grains and Pasta,1,1,1,1,1,1,1,1,1,1,
amaranth leaves raw,"Amaranth leaves, raw",Vegetables and Vegetable Products,1,1,1,1,1,1,1,1,1,1,
apples raw without skin,"Apples, raw, without skin",Fruits and Fruit Juices,1,1,1,1,1,1,1,1,1,1,
apricots raw,"Apricots, raw",Fruits and Fruit Juices,1,1,1,1,1,1,1,1,1,1,
arrowhead raw,"Arrowhead, raw",Vegetables and Vegetable Products,1,1,1,1,1,1,1,1,1,1,
arrowroot raw,"Arrowroot, raw",Vegetables and Vegetable Products,1,1,1,1,1,1,1,1,1,1,
artichokes (globe or french) raw,"Artichokes, (globe or french), raw",Vegetables and Vegetable Products,1,1,1,1,1,1,1,1,1,1,
arugula baby raw,"Arugula, baby, raw",Vegetables and Vegetable Products,1,1,1,1,1,1,1,1,1,1,
arugula raw,"Arugula, raw",Vegetables and Vegetable Products,1,1,1,1,1,1,1,1,1,1,
ascidians (tunughnak) (alaska native),Ascidians (tunughnak) (Alaska Native),American Indian/Alaska Native Foods,1,1,1,1,1,1,1,1,1,1,
asparagus green raw,"Asparagus, green, raw",Vegetables and Vegetable Products,1,1,1,1,1,1,1,1,1,1,
asparagus raw,"Asparagus, raw",Vegetables and Vegetable Products,1,1,1,1,1,1,1,1,1,1,
avocado hass peeled raw,"Avocado, Hass, peeled, raw",Fruits and Fruit Juices,1,1,1,1,1,1,1,1,1,1,
avocados raw california,"Avocados, raw, California",Fruits and Fruit Juices,1,1,1,1,1,1,1,1,1,1,
avocados raw florida,"Avocados, raw, Florida",Fruits and Fruit Juices,1,1,1,1,1,1,1,1,1,1,
balsam-pear (bitter gourd) leafy tips raw,"Balsam-pear (bitter gourd), leafy tips, raw",Vegetables and Vegetable Products,1,1,1,1,1,1,1,1,1,1,
balsam-pear (bitter gourd) pods raw,"Balsam-pear (bitter gourd), pods, raw",Vegetables and Vegetable Products,1,1,1,1,1,1,1,1,1,1,
bamboo shoots raw,"Bamboo shoots, raw",Vegetables and Vegetable Products,1,1,1,1,1,1,1,1,1,1,
bananas overripe raw,"Bananas, overripe, raw",Fruits and Fruit Juices,1,1,1,1,1,1,1,1,1,1,
