nutrient,unit,life_stage,sex,source_agency,recommended_value,upper_limit_value,source_url,notes
Biotin,ug,Adults,Female,DGE,40.0,,https://www.dge.de/wissenschaft/referenzwerte/biotin/,Auto-imported from DGE nutrient page
Biotin,ug,Adults,Male,DGE,40.0,,https://www.dge.de/wissenschaft/referenzwerte/biotin/,Auto-imported from DGE nutrient page
Biotin,g,Adults,All,DRI,35.0,,https://www.ncbi.nlm.nih.gov/books/NBK56068/table/summarytables.t2/?report=objectonly,Auto-imported from DRI table
Biotin,g,Adults,Female,DRI,30.0,,https://www.ncbi.nlm.nih.gov/books/NBK56068/table/summarytables.t2/?report=objectonly,Auto-imported from DRI table
Biotin,g,Adults,Male,DRI,30.0,,https://www.ncbi.nlm.nih.gov/books/NBK56068/table/summarytables.t2/?report=objectonly,Auto-imported from DRI table
Calcium,mg,Adults,Female,DGE,1000.0,,https://www.dge.de/wissenschaft/referenzwerte/calcium/,Auto-imported from DGE nutrient page
Calcium,mg,Adults,Male,DGE,1000.0,,https://www.dge.de/wissenschaft/referenzwerte/calcium/,Auto-imported from DGE nutrient page
Calcium,mg,Adults,All,DRI,,2500.0,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab9/?report=objectonly,Auto-imported from DRI UL table
Calcium,mg,Adults,Female,DRI,,2500.0,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab9/?report=objectonly,Auto-imported from DRI UL table
Calcium,mg,Adults,Male,DRI,,2500.0,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab9/?report=objectonly,Auto-imported from DRI UL table
Calcium,mg,Adults,Male,EFSA,1000,2500,https://www.efsa.europa.eu/en/topics/topic/dietary-reference-values,
Calcium,mg,Adults,All,FAO,,,https://www.fao.org/3/x6877e/X6877E00.htm,Add FAO adult value from source table used in your workflow
Calcium,mg,Adults,All,FDA,1300,,https://www.fda.gov/food/nutrition-facts-label/daily-value-new-nutrition-and-supplement-facts-labels,FDA Daily Value; not equivalent to all RDA frameworks
Choline,g,Adults,All,DRI,,3.5,https://www.ncbi.nlm.nih.gov/books/NBK56068/table/summarytables.t7/?report=objectonly,Auto-imported from DRI UL table
Choline,g,Adults,Female,DRI,,3.5,https://www.ncbi.nlm.nih.gov/books/NBK56068/table/summarytables.t7/?report=objectonly,Auto-imported from DRI UL table
Choline,g,Adults,Male,DRI,,3.5,https://www.ncbi.nlm.nih.gov/books/NBK56068/table/summarytables.t7/?report=objectonly,Auto-imported from DRI UL table
Choline,mg,Adults,Female,DRI,425.0,,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab3/?report=objectonly,Web-verified DRI recommended intake (19-30 y)
Choline,mg,Adults,Male,DRI,550.0,,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab3/?report=objectonly,Web-verified DRI recommended intake (19-30 y)
Chromium,g,Adults,All,DRI,45.0,,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab3/?report=objectonly,Auto-imported from DRI table
Chromium,g,Adults,Female,DRI,25.0,,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab3/?report=objectonly,Auto-imported from DRI table
Chromium,g,Adults,Male,DRI,35.0,,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab3/?report=objectonly,Auto-imported from DRI table
Copper,g,Adults,All,DRI,,10000.0,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab9/?report=objectonly,Auto-imported from DRI UL table
Copper,g,Adults,Female,DRI,,10000.0,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab9/?report=objectonly,Auto-imported from DRI UL table
Copper,g,Adults,Male,DRI,,10000.0,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab9/?report=objectonly,Auto-imported from DRI UL table
Copper,ug,Adults,Female,DRI,900.0,,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab3/?report=objectonly,Web-verified DRI recommended intake (19-30 y)
Copper,ug,Adults,Male,DRI,900.0,,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab3/?report=objectonly,Web-verified DRI recommended intake (19-30 y)
Folate,ug,Adults,Female,DGE,300.0,,https://www.dge.de/wissenschaft/referenzwerte/folat/,Auto-imported from DGE nutrient page
Folate,ug,Adults,Male,DGE,300.0,,https://www.dge.de/wissenschaft/referenzwerte/folat/,Auto-imported from DGE nutrient page
Folate,g,Adults,All,DRI,,1000.0,https://www.ncbi.nlm.nih.gov/books/NBK56068/table/summarytables.t7/?report=objectonly,Auto-imported from DRI UL table
Folate,g,Adults,Female,DRI,,1000.0,https://www.ncbi.nlm.nih.gov/books/NBK56068/table/summarytables.t7/?report=objectonly,Auto-imported from DRI UL table
