"IndicatorCode","IndicatorName","Language"
"ASSISTIVETECH_SATISFACTIONACTIVITIES","Satisfaction with assistive products for different environments and activities (%)","EN"
"bmi30wm","Obesity prevalence in non-pregnant women aged 15-49 years, BMI >= 30 (%)","EN"
"EQ_OVERWEIGHTADULT","Prevalence of overweight and obesity","EN"
"HRH_12","Number of environment and public health workers","EN"
"HRH_31","Environmental and public health workers density (per 1000 population)","EN"
"HWF_0017","Environmental and Occupational Health and Hygiene Professionals  (number)","EN"
"HWF_0018","Environmental and Occupational Health Inspectors and Associates  (number)","EN"
"NCD_BMI_18A","Prevalence of underweight among adults, BMI < 18 (age-standardized estimate) (%)","EN"
"NCD_BMI_18C","Prevalence of underweight among adults, BMI < 18 (crude estimate) (%)","EN"
"NCD_BMI_25A","Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)","EN"
"NCD_BMI_25C","Prevalence of overweight among adults, BMI &GreaterEqual; 25 (crude estimate) (%)","EN"
"NCD_BMI_30A","Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)","EN"
"NCD_BMI_30C","Prevalence of obesity among adults, BMI &GreaterEqual; 30 (crude estimate) (%)","EN"
"NCD_BMI_PLUS1A","Prevalence of overweight among children and adolescents, BMI > +1 standard deviations above the median (age-standardized estimate) (%)","EN"
"NCD_BMI_PLUS1C","Prevalence of overweight among children and adolescents, BMI > +1 standard deviations above the median (crude estimate) (%)","EN"
"NCD_BMI_PLUS2A","Prevalence of obesity among children and adolescents, BMI > +2 standard deviations above the median (age-standardized estimate) (%)","EN"
"NCD_BMI_PLUS2C","Prevalence of obesity among children and adolescents, BMI > +2 standard deviations above the median (crude estimate) (%)","EN"
"NCD_CCS_DIET_AWARE","Implementation of a nutrition public awareness program","EN"
"NCD_CCS_OBES_MGMT_GUIDE","Existence of evidence-based national guidelines/protocols/standards for the management of overweight/obesity","EN"
"NCD_CCS_OBES_TARGET","Existence of a national target on obesity","EN"
"NCD_CCS_OVWT_SVY","Has conducted a recent, national adult risk factor survey covering overweight and obesity","EN"
"NCD_CCS_OvwtPlan","Existence of operational policy/strategy/action plan to reduce overweight/obesity","EN"
"NLIS_NU_CA_049","NLIS: Children with diarrhoea receiving zinc and ORS (%)","EN"
"NLIS_NU_CA_116","NLIS: Minimum dietary diversity (MDD) in children 6-23 months (%)","EN"
"NTD_7","Population in areas that warrant treatment with antibiotics, facial cleanliness and environmental improvement for elimination of trachoma as a public health problem","EN"
"NUT_CF_MDD","Minimum dietary diversity 6-23 months","EN"
"NUTOVERWEIGHTNUM","Overweight numbers among children under 5 years of age (thousands), model-based estimates","EN"
"NUTOVERWEIGHTPREV","Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), model-based estimates","EN"
